,Time,4c_labels,binary_labels,smooth_binary
0,0.0,3.0,0.0,0
1,1.0,3.0,0.0,0
2,2.0,3.0,0.0,0
3,3.0,3.0,0.0,0
4,4.0,2.0,1.0,0
5,5.0,3.0,0.0,0
6,6.0,3.0,0.0,1
7,7.0,2.0,1.0,0
8,8.0,2.0,1.0,1
9,9.0,1.0,0.0,1
10,10.0,2.0,1.0,1
11,11.0,2.0,1.0,1
12,12.0,2.0,1.0,1
13,13.0,2.0,1.0,1
14,14.0,2.0,1.0,1
15,15.0,2.0,1.0,1
16,16.0,2.0,1.0,1
17,17.0,2.0,1.0,1
18,18.0,2.0,1.0,1
19,19.0,2.0,1.0,1
20,20.0,2.0,1.0,1
21,21.0,2.0,1.0,1
22,22.0,2.0,1.0,1
23,23.0,2.0,1.0,1
24,24.0,2.0,1.0,1
25,25.0,4.0,0.0,0
26,26.0,4.0,0.0,0
27,27.0,4.0,0.0,0
28,28.0,4.0,0.0,0
29,29.0,4.0,0.0,0
30,30.0,4.0,0.0,0
31,31.0,4.0,0.0,0
32,32.0,4.0,0.0,0
33,33.0,4.0,0.0,0
34,34.0,2.0,1.0,0
35,35.0,2.0,1.0,1
