,Time,4c_labels,binary_labels,smooth_binary
0,0.0,2.0,1.0,1
1,1.0,2.0,1.0,1
2,2.0,2.0,1.0,1
3,3.0,2.0,1.0,1
4,4.0,2.0,1.0,1
5,5.0,2.0,1.0,1
6,6.0,2.0,1.0,1
7,7.0,4.0,0.0,1
8,8.0,2.0,1.0,1
9,9.0,2.0,1.0,1
10,10.0,2.0,1.0,1
11,11.0,2.0,1.0,1
12,12.0,2.0,1.0,1
13,13.0,2.0,1.0,1
14,14.0,2.0,1.0,1
15,15.0,2.0,1.0,1
16,16.0,2.0,1.0,1
17,17.0,2.0,1.0,1
18,18.0,2.0,1.0,1
19,19.0,2.0,1.0,1
20,20.0,1.0,0.0,0
21,21.0,1.0,0.0,0
22,22.0,1.0,0.0,0
23,23.0,1.0,0.0,0
24,24.0,1.0,0.0,0
25,25.0,1.0,0.0,0
26,26.0,1.0,0.0,0
27,27.0,2.0,1.0,1
28,28.0,2.0,1.0,1
29,29.0,2.0,1.0,1
30,30.0,2.0,1.0,1
31,31.0,2.0,1.0,1
32,32.0,2.0,1.0,1
33,33.0,2.0,1.0,1
34,34.0,2.0,1.0,1
35,35.0,2.0,1.0,1
36,36.0,2.0,1.0,1
37,37.0,2.0,1.0,1
38,38.0,2.0,1.0,1
39,39.0,1.0,0.0,0
40,40.0,1.0,0.0,0
41,41.0,1.0,0.0,0
42,42.0,1.0,0.0,0
43,43.0,1.0,0.0,0
44,44.0,1.0,0.0,0
45,45.0,1.0,0.0,0
46,46.0,1.0,0.0,0
47,47.0,1.0,0.0,0
48,48.0,1.0,0.0,0
